Disease,Symptoms
deep   vein thrombosis,"hypotonic, speech slurred, hypotension, decreased stool caliber, choke, redness, clonus, retch"
carcinoma breast,"swelling, burning sensation, hyperhidrosis disorder, wheezing, todd paralysis, night sweat"
ileus,"myalgia, blanch, thicken, gurgle, tumor cell invasion, gravida 0, metastatic lesion, pain abdominal"
gastroesophageal   reflux disease,"palpitation, irritable mood, sweating increased, asthenia, hypokalemia"
hemorrhoids,"hot flush, achalasia, primigravida, guaiac positive, dizziness"
diverticulitis,"stuffy nose, urgency of micturition, shooting pain, chest tightness, monoclonal, thicken, drool"
emphysema   pulmonary,"constipation, rhd positive, adverse effect, primigravida, dyspnea, feels hot/feverish, dullness, choke, arthralgia"
myocardial   infarction,"presence of q wave, Heberden's node, sinus rhythm, productive cough, chest tightness, transaminitis, dyspnea"
dehydration,"sleepy, fatigue, sensory discomfort, history of - blackout, lethargy, dizziness"
decubitus   ulcer,"aura, dyspareunia, headache, frail, unsteady gait, systolic murmur, lethargy"
paranoia,"loose associations, breakthrough pain, heartburn, pustule, blackout"
chronic   obstructive airway disease,"neck stiffness, hypercapnia, patient non compliance, chest tightness, sputum purulent"
carcinoma colon,"hyperemesis, systolic ejection murmur, angina pectoris, nausea, green sputum, pain back, polydypsia"
diverticulitis,"low back pain, fever, debilitation, monoclonal, superimposition, urgency of micturition"
biliary   calculus,"abdominal tenderness, redness, diarrhea, hunger, sore to touch, apyrexial, snuffle, behavior showing increased motor activity"
cardiomyopathy,"blackout, air fluid level, dyspnea on exertion, shortness of breath, clonus, fatigue, patient non compliance"
bipolar   disorder,"mydriasis, motor retardation, impaired cognition, intoxication, loose associations, exhaustion, pulse absent, choke"
malignant   neoplasms,"pain abdominal, extrapyramidal sign, hemianopsia homonymous, distress respiratory, nausea and vomiting, dullness, food intolerance, vertigo"
encephalopathy,"Heberden's node, lip smacking, hypokinesia, pustule, hypoproteinemia, thicken, unresponsiveness, night sweat, spasm"
arthritis,"distended abdomen, dysdiadochokinesia, fatigue, general unsteadiness, panic, hunger, shortness of breath, pain"
colitis,"air fluid level, pain abdominal, urge incontinence, tenesmus, chill, tinnitus, diarrhea"
carcinoma prostate,"unable to concentrate, orthostasis, hoarseness, hemodynamically stable, mass of body structure, decreased body weight, moan"
psychotic   disorder,"hemodynamically stable, incoherent, nightmare, behavior hyperactive, excruciating pain, energy increased, cicatrisation, catching breath"
sickle   cell anemia,"apyrexial, difficulty, dyspareunia, giddy mood, ataxia, charleyhorse, hepatosplenomegaly, abscess bacterial"
pericardial effusion body substance,"hypoxemia, blackout, oliguria, intoxication, choke, side pain"
hernia   hiatal,"numbness of hand, natural, headache, todd paralysis, red blotches, guaiac positive, transsexual, photophobia"
chronic   alcoholic intoxication,"shortness of breath, sleeplessness, asterixis, pericardial friction rub, breath sounds decreased, uncoordination"
personality   disorder,"rest pain, worry, muscle twitch, pruritus, cicatrisation, side pain, uncoordination"
hypertension   pulmonary,"sleepy, gravida 10, neologism, hypotension, decompensation, difficulty, neck stiffness, cyanosis, pulsus paradoxus"
ulcer   peptic,"agitation, fear of falling, nervousness, thicken, hunger"
diverticulosis,"photopsia, night sweat, nausea, anorexia, heartburn"
primary   carcinoma of the liver cells,"lung nodule, mediastinal shift, stupor, pain abdominal, enuresis, hematocrit decreased, verbally abusive behavior"
kidney   failure acute,"natural, proteinemia, red blotches, immobile, diarrhea, pallor, haemorrhage, motor retardation"
diverticulosis,"erythema, hematochezia, anorexia, feeling hopeless, cystic lesion, homicidal thoughts, stridor"
tonic-clonic seizures,"pain foot, irritable mood, spasm, photopsia, ambidexterity"
delusion,"estrogen use, terrify, hypoproteinemia, mood depressed, irritable mood"
incontinence,"syncope, ecchymosis, hemodynamically stable, breath-holding spell, unresponsiveness, stiffness, macule, behavior hyperactive, bowel sounds decreased, fall"
paroxysmal   dyspnea,"snuffle, titubation, dyspnea, stiffness, malaise"
dementia,"satiety early, regurgitates after swallowing, sputum purulent, pain, hallucinations auditory, abdominal tenderness"
anemia,"feces in rectum, food intolerance, transaminitis, gasping for breath, shortness of breath, guaiac positive, sputum purulent, speech slurred, agitation, swelling"
depressive disorder,"hypotension, verbal auditory hallucinations, homelessness, room spinning, superimposition, energy increased, hypersomnolence, nightmare, pulse absent"
deglutition   disorder,"labored breathing, stiffness, speech slurred, lesion, hematochezia, decreased body weight"
arthritis,"myalgia, pain, exhaustion, oliguria, general unsteadiness, distended abdomen"
neoplasm   metastasis,"energy increased, atypia, intermenstrual heavy bleeding, food intolerance, feeling strange, mass of body structure"
ileus,"thicken, neologism, pain abdominal, gravida 0, apyrexial, emphysematous change"
tonic-clonic seizures,"monocytosis, headache, ambidexterity, spasm, tumor cell invasion, prodrome"
depressive disorder,"verbal auditory hallucinations, nausea, homelessness, energy increased, spasm, dyspnea, paraparesis"
paroxysmal   dyspnea,"vertigo, sweating increased, motor retardation, dyspnea, photophobia, weight gain, hypotension, coordination abnormal"
delusion,"agitation, verbal auditory hallucinations, blackout, irritable mood, terrify"
diverticulosis,"sniffle, pain chest, decreased translucency, asterixis, focal seizures, retch, feeling hopeless, anorexia"
hyperbilirubinemia,"myalgia, regurgitates after swallowing, cushingoid habitus, cough, energy increased, neck stiffness"
gastritis,"polymyalgia, decreased body weight, dizziness, adverse effect, sore to touch"
encephalopathy,"weight gain, debilitation, paresthesia, terrify, thicken, swelling"
cholecystitis,"paraparesis, groggy, abnormally hard consistency, feces in rectum, food intolerance, patient non compliance"
coronary heart disease,"chest tightness, dyspnea on exertion, sweating increased, macerated skin, rhonchus, orthopnea"
hypothyroidism,"numbness, tired, absences finding, mental status changes, todd paralysis"
pericardial effusion body substance,"pain, blackout, unwell, labored breathing, panic"
malignant   neoplasms,"pain abdominal, distress respiratory, ambidexterity, unresponsiveness, dullness"
Pneumocystis   carinii pneumonia,"headache, slowing of urinary stream, rigor - temperature-associated observation, non-productive cough, mood depressed, transaminitis, asymptomatic, hypotonic"
dementia,"estrogen use, ecchymosis, dysarthria, dyspnea on exertion, cardiovascular event, pain, unsteady gait, abdominal tenderness"
asthma,"transaminitis, feels hot/feverish, distress respiratory, presence of q wave, pleuritic pain, lightheadedness, productive cough"
neoplasm,"large-for-dates fetus, noisy respiration, decreased body weight, headache, pain abdominal"
carcinoma colon,"scratch marks, nausea, bruit, nightmare, hyperemesis, polydypsia, anosmia, breech presentation, systolic ejection murmur, numbness of hand"
primary   carcinoma of the liver cells,"pain abdominal, heavy legs, cough, hematocrit decreased, stupor, loose associations, macule"
deglutition   disorder,"decreased body weight, lesion, side pain, dysarthria, tumor cell invasion, stiffness"
anxiety   state,"projectile vomiting, hot flush, pain, hallucinations auditory, hypoalbuminemia, mood depressed"
exanthema,"painful swallowing, cushingoid habitus, breath sounds decreased, photophobia, chill"
hyperglycemia,"estrogen use, ascites, seizure, wheezing, intoxication, throat sore"
schizophrenia,"worry, hallucinations visual, homelessness, underweight, dyspnea on exertion"
bacteremia,"throbbing sensation quality, pallor, disequilibrium, regurgitates after swallowing, hypokinesia, diarrhea, tenesmus, pleuritic pain"
epilepsy,"distress respiratory, hyponatremia, has religious belief, lethargy, myoclonus, sleepy, hematocrit decreased"
accident   cerebrovascular,"seizure, gag, unresponsiveness, numbness, dysesthesia"
parkinson   disease,"frothy sputum, hypesthesia, hematuria, achalasia, bradycardia, hypersomnolence, night sweat"
paranoia,"hyperacusis, hacking cough, thicken, energy increased, blackout, mood depressed, weight gain, room spinning, paralyse"
hepatitis   C,"hallucinations auditory, asterixis, patient non compliance, breath sounds decreased, st segment elevation, chill, coordination abnormal"
infection   urinary tract,"hypokinesia, spasm, malaise, consciousness clear, giddy mood"
cirrhosis,"hemodynamically stable, pain foot, bleeding of vagina, sore to touch, stupor"
carcinoma of lung,"agitation, clonus, irritable mood, paraparesis, asthenia, clammy skin"
adhesion,"immobile, unwell, breath-holding spell, unsteady gait, catatonia, hallucinations visual, weight gain, myalgia"
aphasia,"air fluid level, indifferent mood, low back pain, aphagia, paralyse"
hemiparesis,"stinging sensation, Stahli's line, oliguria, hoard, hypesthesia, facial paresis, sleepy, tumor cell invasion"
cardiomyopathy,"patient non compliance, superimposition, fatigue, dyspnea on exertion, lung nodule, air fluid level, weight gain"
accident   cerebrovascular,"renal angle tenderness, asthenia, shooting pain, unresponsiveness, hyperhidrosis disorder, cachexia, seizure, hematuria"
colitis,"homelessness, chill, pain abdominal, tenesmus, intoxication, urge incontinence"
dehydration,"monocytosis, dizziness, lethargy, history of - blackout, air fluid level, haemoptysis"
encephalopathy,"unresponsiveness, formication, debilitation, urinary hesitation, bleeding of vagina, passed stones"
migraine   disorders,"dysarthria, nausea, splenomegaly, blackout, tumor cell invasion, dizzy spells, dizziness, atypia"
hyperglycemia,"seizure, ascites, estrogen use, inappropriate affect, hallucinations visual"
arthritis,"metastatic lesion, general unsteadiness, dizzy spells, distended abdomen, shortness of breath, labored breathing, tonic seizures"
myocardial   infarction,"abdominal tenderness, unable to concentrate, tremor resting, flare, presence of q wave, dyspnea, syncope"
hypothyroidism,"agitation, ataxia, numbness, flatulence, ache, tired"
hypercholesterolemia,"underweight, hemianopsia homonymous, dyspnea, apyrexial, worry, r wave feature, loose associations"
ketoacidosis   diabetic,"aura, hypersomnia, urinary hesitation, seizure, clammy skin, diarrhea, feels hot/feverish"
carcinoma of lung,"irritable mood, agitation, angina pectoris, decreased translucency, alcoholic withdrawal symptoms"
failure   heart congestive,"erythema, cough, dyspnea, dyspareunia, bruit, wheezing, polymyalgia, stupor, orthopnea"
gastroenteritis,"adverse effect, retch, mental status changes, giddy mood, gurgle, hyponatremia, chest discomfort, flatulence"
hepatitis   B,"pain neck, moan, abdominal tenderness, wheelchair bound, polydypsia, left atrial hypertrophy"
manic   disorder,"suicidal, dysarthria, decompensation, feeling suicidal, hemianopsia homonymous"
sickle   cell anemia,"ecchymosis, hepatosplenomegaly, headache, apyrexial, abdomen acute, green sputum"
schizophrenia,"extreme exhaustion, hallucinations visual, overweight, underweight, asthenia, homelessness, worry"
depressive disorder,"hot flush, nightmare, energy increased, claudication, para 2, homelessness"
gastroesophageal   reflux disease,"stool color yellow, colic abdominal, pain abdominal, large-for-dates fetus, sweating increased, palpitation, asthenia"
hepatitis   C,"milky, hallucinations auditory, hypertonicity, chill, patient non compliance, Heberden's node, asterixis"
pyelonephritis,"dullness, poor feeding, hyperhidrosis disorder, pain abdominal, myalgia, weepiness"
thrombus,"hemodynamically stable, hypoxemia, stool color yellow, pain foot, rest pain, vomiting"
emphysema   pulmonary,"dyspnea, neologism, nasal discharge present, choke, constipation, terrify, superimposition"
influenza,"weight gain, pruritus, aphagia, blackout, sneeze"
osteoporosis,"lightheadedness, palpitation, out of breath, low back pain, orthostasis, apyrexial, syncope"
tachycardia   sinus,"t wave inverted, abdominal bloating, anosmia, rest pain, natural, vomiting"
suicide   attempt,"aphagia, fatigue, abdominal tenderness, mediastinal shift, lung nodule, irritable mood, cough"
hypoglycemia,"hypotension, hydropneumothorax, polyuria, scleral icterus, distress respiratory, hepatomegaly, clammy skin, unresponsiveness"
hiv infections,"stool color yellow, pressure chest, hypotonic, paraparesis, myoclonus"
hypertensive   disease,"breath-holding spell, nausea, palpitation, pressure chest, impaired cognition, angina pectoris, nightmare"
hernia   hiatal,"scratch marks, formication, photophobia, headache, orthopnea, history of - blackout, guaiac positive"
exanthema,"pain, gravida 0, distress respiratory, painful swallowing, lightheadedness, chill, excruciating pain, photophobia, giddy mood"
hernia   hiatal,"primigravida, headache, numbness of hand, low back pain, photophobia, guaiac positive"
personality   disorder,"cicatrisation, hematuria, ambidexterity, heme positive, worry, homelessness, pruritus, side pain, shooting pain"
cardiomyopathy,"splenomegaly, mood depressed, dyspnea on exertion, sedentary, fatigue, rolling of eyes, hoard, weight gain, patient non compliance"
infection,"hemodynamically stable, pain, cough, mediastinal shift, stool color yellow, apyrexial, groggy"
bronchitis,"hyperacusis, arthralgia, dyspnea, paresthesia, chill, hacking cough"
personality   disorder,"pruritus, rest pain, ataxia, anorexia, homelessness"
tonic-clonic seizures,"urinary hesitation, hypersomnia, ambidexterity, tumor cell invasion, hyponatremia, urinoma, low back pain"
chronic   kidney failure,"unresponsiveness, nausea, sciatica, heavy feeling, pleuritic pain, sniffle"
chronic   kidney failure,"pleuritic pain, satiety early, nausea, renal angle tenderness, unhappy, fever"
suicide   attempt,"room spinning, irritable mood, agitation, cough, disequilibrium, pulsus paradoxus, fatigue, numbness"
neutropenia,"oliguria, chest discomfort, abdominal bloating, bradycardia, hypocalcemia result, hyperhidrosis disorder"
hypertensive   disease,"nausea, no status change, t wave inverted, palpitation, pressure chest, angina pectoris"
carcinoma prostate,"loose associations, hemodynamically stable, orthostasis, dyspareunia, decreased body weight"
migraine   disorders,"fever, wheezing, splenomegaly, dizziness, nausea, redness"
neutropenia,"hypocalcemia result, mediastinal shift, urinary hesitation, sensory discomfort, homelessness, pain abdominal"
pericardial effusion body substance,"blackout, hemiplegia, intoxication, extrapyramidal sign, oliguria"
edema   pulmonary,"posturing, sinus rhythm, catatonia, guaiac positive, chest discomfort"
tonic-clonic seizures,"hemianopsia homonymous, prostatism, headache, tumor cell invasion, ambidexterity, flushing, spasm"
ischemia,"rale, labored breathing, muscle twitch, macule, sweating increased, asymptomatic"
diverticulitis,"urgency of micturition, fever, thicken, bruit, weight gain, monoclonal"
suicide   attempt,"irritable mood, dizzy spells, cough, mood depressed, formication, abdomen acute"
pneumothorax,"excruciating pain, sleepy, heartburn, pain in lower limb, cardiovascular event, prostatism, agitation"
accident   cerebrovascular,"asthenia, numbness, seizure, green sputum, lip smacking, unresponsiveness, nervousness"
failure   kidney,"anosmia, no status change, prostatism, fatigue, achalasia, splenomegaly, jugular venous distention"
myocardial   infarction,"chest tightness, drool, presence of q wave, spasm, rambling speech, abnormally hard consistency, dyspnea"
gout,"hypothermia, hypokinesia, patient non compliance, pain, bradycardia"
infection,"hunger, hirsutism, apyrexial, irritable mood, swelling, sensory discomfort, macule, passed stones, cough"
gastroesophageal   reflux disease,"slowing of urinary stream, sweating increased, jugular venous distention, drool, palpitation, tinnitus"
migraine   disorders,"nausea, splenomegaly, dizziness, vertigo, hyperacusis, fever"
gastroesophageal   reflux disease,"noisy respiration, sweating increased, palpitation, pain abdominal, headache, decreased body weight, dysesthesia, macerated skin, extreme exhaustion"
myocardial   infarction,"syncope, presence of q wave, chest tightness, stuffy nose, dyspnea, gravida 0"
hyperbilirubinemia,"sciatica, myalgia, cough, cyanosis, cystic lesion, throat sore, cushingoid habitus"
fibroid   tumor,"ecchymosis, decompensation, primigravida, abnormally hard consistency, heartburn"
upper   respiratory infection,"cystic lesion, apyrexial, emphysematous change, frail, satiety early"
manic   disorder,"rapid shallow breathing, enuresis, stool color yellow, feeling suicidal, pain chest, no known drug allergies, hallucinations visual, difficulty, suicidal"
coronary heart disease,"chest tightness, orthopnea, sweating increased, stiffness, abdominal bloating, dyspnea on exertion, primigravida"
hepatitis,"fever, neologism, hot flush, distress respiratory, vomiting, paralyse"
melanoma,"diarrhea, pain, vomiting, mass in breast, general discomfort, stiffness"
hemiparesis,"slowing of urinary stream, gravida 0, sleepy, stinging sensation, sensory discomfort, Stahli's line, facial paresis"
transient   ischemic attack,"headache, weepiness, difficulty, abdominal bloating, flatulence, syncope"
infection   urinary tract,"difficulty passing urine, distress respiratory, mental status changes, rigor - temperature-associated observation, ambidexterity, consciousness clear"
embolism   pulmonary,"decreased body weight, wheezing, distress respiratory, hypertonicity, non-productive cough, blackout"
parkinson   disease,"tremor, hematuria, mass of body structure, sedentary, night sweat, air fluid level, urgency of micturition"
mitral   valve insufficiency,"fatigue, withdraw, angina pectoris, lung nodule, pain chest, bruit, chest discomfort, bradykinesia, vomiting"
accident   cerebrovascular,"numbness, seizure, asthenia, tremor, posterior rhinorrhea, unresponsiveness, chest tightness, hallucinations visual, left atrial hypertrophy"
failure   heart congestive,"abortion, cough, dyspnea, atypia, tinnitus"
incontinence,"achalasia, hyponatremia, syncope, blackout, unresponsiveness, stiffness, t wave inverted, behavior showing increased motor activity, fall"
Alzheimer's   disease,"intoxication, dyspnea on exertion, tremor, fever, groggy, decompensation"
sepsis (invertebrate),"aura, hypokinesia, sciatica, unresponsiveness, rale, abdomen acute, numbness of hand"
neoplasm   metastasis,"energy increased, food intolerance, dysuria, pain, mass of body structure"
hyperbilirubinemia,"diarrhea, angina pectoris, terrify, cough, cushingoid habitus, abdomen acute"
embolism   pulmonary,"unresponsiveness, asterixis, non-productive cough, qt interval prolonged, unwell"
failure   heart,"hypokinesia, incoherent, ascites, angina pectoris, hypotension"
parkinson   disease,"withdraw, ascites, mass of body structure, sleepy, hematuria"
affect   labile,"bedridden, weight gain, prostatism, enuresis, hallucinations visual, vertigo"
anemia,"breath-holding spell, sciatica, stool color yellow, guaiac positive, transaminitis, adverse effect"
neuropathy,"claudication, weight gain, cyanosis, tenesmus, pain"
failure   heart,"blackout, hypotension, tenesmus, systolic ejection murmur, angina pectoris, hypokinesia, hypocalcemia result"
kidney   disease,"hyperkalemia, mental status changes, hirsutism, pansystolic murmur, bleeding of vagina, gravida 0"
schizophrenia,"chill, worry, underweight, hallucinations visual, homelessness, hypoproteinemia, st segment elevation"
gastritis,"sore to touch, dizziness, decreased body weight, pain, dizzy spells, behavior hyperactive"
infection   urinary tract,"passed stones, difficulty passing urine, rapid shallow breathing, pressure chest, consciousness clear, mental status changes, homicidal thoughts"
dependence,"weepiness, heavy legs, ecchymosis, hematocrit decreased, rale, stuffy nose"
asthma,"productive cough, elation, charleyhorse, emphysematous change, distress respiratory, pleuritic pain, abnormally hard consistency, cystic lesion"
coronary heart disease,"rest pain, dyspnea on exertion, passed stones, chest tightness, sweating increased"
hemiparesis,"asymptomatic, stinging sensation, Stahli's line, giddy mood, sleepy"
hypertensive   disease,"palpitation, angina pectoris, abscess bacterial, r wave feature, nausea, feeling suicidal"
influenza,"sneeze, prostate tender, blackout, drowsiness, extreme exhaustion, distress respiratory"
infection   urinary tract,"difficulty passing urine, hemodynamically stable, consciousness clear, disturbed family, verbally abusive behavior, mental status changes, r wave feature, urinary hesitation, non-productive cough"
hyperglycemia,"sedentary, wheezing, scar tissue, estrogen use, seizure"
embolism   pulmonary,"orthopnea, unresponsiveness, Murphy's sign, distress respiratory, sputum purulent, wheezing, energy increased, poor feeding, hypokinesia"
psychotic   disorder,"terrify, energy increased, nightmare, blackout, polyuria"
dehydration,"soft tissue swelling, history of - blackout, lethargy, dizziness, pain neck"
confusion,"pansystolic murmur, lightheadedness, unresponsiveness, dysarthria, neologism, poor dentition, dizziness, retch"
hernia   hiatal,"numbness of hand, agitation, guaiac positive, phonophobia, photophobia, polydypsia, ataxia"
dependence,"claudication, rale, heavy legs, muscle twitch, prostatism"
migraine   disorders,"paraparesis, splenomegaly, dizziness, out of breath, nausea, fever"
degenerative   polyarthritis,"inappropriate affect, stool color yellow, abdomen acute, hoarseness, haemorrhage, wheelchair bound, stiffness, polydypsia"
dependence,"intoxication, muscle twitch, stuffy nose, heavy legs, hypokinesia, regurgitates after swallowing"
arthritis,"sore to touch, general unsteadiness, distended abdomen, todd paralysis, polyuria, pain, shortness of breath, ascites, coordination abnormal, fatigue"
melanoma,"orthostasis, absences finding, abnormal sensation, large-for-dates fetus, vomiting"
ketoacidosis   diabetic,"wheezing, extrapyramidal sign, pain foot, catatonia, diarrhea"
primary malignant neoplasm,"thicken, pain, angina pectoris, hoarseness, gasping for breath, stupor, abnormally hard consistency, hematuria"
manic   disorder,"extreme exhaustion, bleeding of vagina, systolic murmur, milky, decompensation, suicidal, feeling suicidal"
bacteremia,"decreased translucency, pleuritic pain, diarrhea, poor dentition, presence of q wave"
psychotic   disorder,"terrify, loose associations, energy increased, abortion, no status change, pain, behavior hyperactive"
osteomyelitis,"urinary hesitation, abscess bacterial, erythema, oliguria, myalgia, catching breath, hyperemesis"
diverticulitis,"dyspnea on exertion, monoclonal, thicken, fever, urgency of micturition, hematuria, mass of body structure, mydriasis, heme positive"
pyelonephritis,"hemiplegia, gravida 0, pain abdominal, fever, myalgia, chill, elation"
suicide   attempt,"scar tissue, hyponatremia, hallucinations visual, fatigue, stool color yellow, irritable mood, formication"
pericardial effusion body substance,"blackout, pain, tremor, wheezing, oliguria, macerated skin"
spasm   bronchial,"vomiting, hematuria, fatigue, difficulty, sensory discomfort"
osteomyelitis,"pain foot, chest discomfort, abscess bacterial, erythema, urinary hesitation, macule"
pyelonephritis,"myalgia, pain abdominal, chill, qt interval prolonged, fever, breech presentation"
hernia,"mass of body structure, polymyalgia, chest discomfort, moan, nightmare, nausea, asthenia"
endocarditis,"decreased body weight, orthopnea, non-productive cough, haemorrhage, dyspnea"
overload   fluid,"atypia, distended abdomen, vertigo, swelling, hyperemesis, monoclonal, hypokalemia"
osteoporosis,"malaise, hypersomnia, out of breath, syncope, lightheadedness"
hyperlipidemia,"previous pregnancies 2, hypokinesia, dizziness, hemiplegia, giddy mood, hypocalcemia result, metastatic lesion, nightmare, fremitus"
carcinoma of lung,"asthenia, irritable mood, hematuria, cicatrisation, scratch marks, decreased translucency, air fluid level"
transient   ischemic attack,"air fluid level, clumsiness, syncope, behavior hyperactive, difficulty, headache"
tricuspid   valve insufficiency,"heavy legs, impaired cognition, pain, cicatrisation, moody, seizure, mediastinal shift"
malignant   neoplasms,"claudication, feces in rectum, food intolerance, superimposition, adverse effect, pain abdominal"
cirrhosis,"hematuria, hemodynamically stable, bleeding of vagina, sore to touch, ataxia"
peripheral   vascular disease,"sore to touch, formication, heartburn, cushingoid habitus, cardiomegaly, hyperhidrosis disorder, extreme exhaustion, sleepy"
bronchitis,"facial paresis, decreased body weight, hoard, chill, dyspnea, red blotches, hacking cough"
parkinson   disease,"colic abdominal, tremor, orthostasis, night sweat, symptom aggravating factors, sleepy"
cardiomyopathy,"unwell, patient non compliance, dysdiadochokinesia, fatigue, tenesmus, weight gain, feeling strange, dyspnea on exertion, hypersomnia"
thrombus,"stool color yellow, qt interval prolonged, vomiting, facial paresis, hemodynamically stable, cushingoid habitus"
arthritis,"sensory discomfort, fremitus, orthopnea, distended abdomen, stridor, pain"
pancreatitis,"sore to touch, feeling strange, hot flush, apyrexial, rigor - temperature-associated observation"
peripheral   vascular disease,"sore to touch, sleepy, hunger, malaise, dyspnea, anorexia"
coronary heart disease,"orthopnea, stiffness, haemorrhage, dyspnea on exertion, sweating increased"
encephalopathy,"polyuria, disturbed family, debilitation, unresponsiveness, prodrome, hypokinesia, thicken"
thrombocytopaenia,"monocytosis, posterior rhinorrhea, pruritus, numbness of hand, blanch"
benign   prostatic hypertrophy,"anorexia, dysarthria, impaired cognition, tenesmus, mental status changes"
schizophrenia,"worry, welt, hyperacusis, rapid shallow breathing, homelessness"
osteoporosis,"hematocrit decreased, out of breath, syncope, history of - blackout, cystic lesion, sputum purulent, lightheadedness, apyrexial"
hyperbilirubinemia,"cyanosis, regurgitates after swallowing, hyperacusis, cushingoid habitus, weepiness, pin-point pupils, asymptomatic, urinary hesitation, myalgia, cough"
gastroesophageal   reflux disease,"snore, elation, blackout, hypoalbuminemia, pain abdominal, sweating increased"
pneumonia,"malaise, underweight, wheezing, night sweat, pin-point pupils, non-productive cough"
colitis,"drool, pain abdominal, unsteady gait, choke, proteinemia"
pancytopenia,"fatigue, side pain, mass in breast, colic abdominal, projectile vomiting, hypoproteinemia, stool color yellow"
stenosis   aortic valve,"prostate tender, pain, bradycardia, shortness of breath, extrapyramidal sign"
pericardial effusion body substance,"jugular venous distention, malaise, pain, unable to concentrate, chest tightness, blackout, intoxication, syncope"
chronic   obstructive airway disease,"rest pain, wheezing, gag, patient non compliance, chest tightness, cardiomegaly"
peripheral   vascular disease,"milky, anorexia, sore to touch, dyspnea, pneumatouria"
confusion,"unresponsiveness, lightheadedness, dysarthria, wheelchair bound, diarrhea, paralyse, dizziness"
pyelonephritis,"neck stiffness, aura, myalgia, urinoma, fatigue, fever"
hyperglycemia,"monoclonal, seizure, unable to concentrate, snore, ascites, wheezing"
pancytopenia,"stool color yellow, hyponatremia, tonic seizures, sciatica, fatigue, superimposition, colic abdominal, hypoproteinemia, tremor resting"
carcinoma colon,"anosmia, polydypsia, extrapyramidal sign, systolic ejection murmur, nausea, hyperemesis"
paranoia,"loose associations, pleuritic pain, feeling strange, poor feeding, breakthrough pain, lip smacking, energy increased, blackout"
hyperbilirubinemia,"Heberden's node, cough, cyanosis, catatonia, presence of q wave, myalgia"
bronchitis,"dyspnea, tenesmus, hacking cough, scleral icterus, haemoptysis, hyponatremia"
carcinoma colon,"indifferent mood, systolic ejection murmur, agitation, nausea, feeling suicidal, impaired cognition"
degenerative   polyarthritis,"intoxication, unsteady gait, stiffness, polydypsia, non-productive cough, hyperventilation"
lymphatic   diseases,"alcohol binge episode, air fluid level, egophony, fatigue, ataxia, non-productive cough, hyperacusis, hyperemesis"
gout,"scratch marks, regurgitates after swallowing, hypokinesia, pain, overweight, hepatosplenomegaly, patient non compliance"
hepatitis   B,"abdominal tenderness, cystic lesion, immobile, moan, projectile vomiting, pain abdominal"
transient   ischemic attack,"syncope, headache, difficulty, systolic murmur, mental status changes, clumsiness"
neoplasm,"pain back, satiety early, pain abdominal, splenomegaly, lethargy, decreased body weight, hoarseness"
incontinence,"paresthesia, rigor - temperature-associated observation, unresponsiveness, fall, qt interval prolonged, hypokinesia"
incontinence,"syncope, stiffness, fall, large-for-dates fetus, colic abdominal"
fibroid   tumor,"primigravida, debilitation, stool color yellow, abnormally hard consistency, satiety early"
insufficiency   renal,"guaiac positive, cardiomegaly, breath sounds decreased, systolic murmur, no status change, difficulty, hypotension"
glaucoma,"mass of body structure, labored breathing, pleuritic pain, lesion, unwell, dysdiadochokinesia, unconscious state, burning sensation"
fibroid   tumor,"dizziness, pain abdominal, heartburn, proteinemia, mediastinal shift, breech presentation"
asthma,"projectile vomiting, productive cough, pleuritic pain, rolling of eyes, distress respiratory"
exanthema,"emphysematous change, claudication, painful swallowing, pain, photophobia"
aphasia,"hunger, paralyse, low back pain, wheelchair bound, non-productive cough"
delusion,"pruritus, blackout, Murphy's sign, agitation, verbal auditory hallucinations, paraparesis"
adenocarcinoma,"egophony, sedentary, pain, abnormally hard consistency, transsexual, pain abdominal, pain neck"
manic   disorder,"feeling suicidal, decompensation, side pain, homicidal thoughts, hypoproteinemia, suicidal, stupor"
pancreatitis,"apyrexial, arthralgia, weepiness, tremor, nausea, systolic ejection murmur, breech presentation, rigor - temperature-associated observation"
deglutition   disorder,"side pain, primigravida, stiffness, decreased body weight, asthenia, scar tissue"
carcinoma colon,"systolic ejection murmur, dyspareunia, polydypsia, guaiac positive, painful swallowing, hyperemesis, hypocalcemia result, para 2"
migraine   disorders,"nausea, dizziness, frothy sputum, fever, heme positive"
hyperlipidemia,"dizziness, haemorrhage, hemiplegia, giddy mood, hallucinations auditory"
hyperglycemia,"bedridden, awakening early, ache, homicidal thoughts, seizure, renal angle tenderness"
hemiparesis,"nasal flaring, night sweat, Stahli's line, stinging sensation, sleepy, hypoalbuminemia, facial paresis"
fibroid   tumor,"abnormally hard consistency, unconscious state, overweight, sedentary, proteinemia, heartburn"
hemorrhoids,"groggy, dizziness, myoclonus, rhd positive, achalasia, orthostasis, guaiac positive, numbness of hand"
peripheral   vascular disease,"asymptomatic, intermenstrual heavy bleeding, anorexia, sore to touch, sleepy"
endocarditis,"irritable mood, apyrexial, gag, breakthrough pain, decreased body weight"
hyperglycemia,"wheezing, dizzy spells, ascites, incoherent, estrogen use, focal seizures, floppy"
diverticulosis,"nausea, cystic lesion, feeling hopeless, hyperventilation, posturing, disturbed family"
asthma,"symptom aggravating factors, clumsiness, pleuritic pain, elation, distress respiratory, productive cough, spontaneous rupture of membranes"
